movieid,title,genres,clean_text
19995,Avatar,Action Adventure Fantasy Science Fiction,action adventure fantasy science fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind soul nd century paraplegic marine dispatched moon pandora unique mission becomes torn following orders protecting alien civilization sam worthington zoe saldana sigourney weaver stephen lang michelle rodriguez
285,Pirates of the Caribbean: At World's End,Adventure Fantasy Action,adventure fantasy action ocean drug abuse exotic island east india trading company love ones life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger captain barbossa long believed dead come back life headed edge earth turner elizabeth swann nothing quite seems johnny depp orlando bloom keira knightley stellan skarsgrd chow yunfat
206647,Spectre,Action Adventure Crime,action adventure crime spy based novel secret agent sequel mi british secret service united kingdom cryptic message bonds past sends trail uncover sinister organization battles political forces keep secret service alive bond peels back layers deceit reveal terrible truth behind spectre daniel craig christoph waltz la seydoux ralph fiennes monica bellucci
49026,The Dark Knight Rises,Action Crime Drama Thriller,action crime drama thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante coverup superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman following death district attorney harvey dent batman assumes responsibility dents crimes protect late attorneys reputation subsequently hunted gotham city police department eight years later batman encounters mysterious selina kyle villainous bane new terrorist leader overwhelms gothams finest dark knight resurfaces protect city branded enemy christian bale michael caine gary oldman anne hathaway tom hardy
49529,John Carter,Action Adventure Science Fiction,action adventure science fiction based novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword planet th century john carter warweary former military captain whos inexplicably transported mysterious exotic planet barsoom mars reluctantly becomes embroiled epic conflict world brink collapse carter rediscovers humanity realizes survival barsoom people rests hands taylor kitsch lynn collins samantha morton willem dafoe thomas haden church
559,Spider-Man 3,Fantasy Action Adventure,fantasy action adventure dual identity amnesia sandstorm love ones life forgiveness spider wretch death friend egomania sand narcism hostility marvel comic sequel superhero revenge seemingly invincible spiderman goes allnew crop villain including shapeshifting sandman spidermans superpowers altered alien organism alter ego peter parker deals nemesis eddie brock also gets caught love triangle tobey maguire kirsten dunst james franco thomas haden church topher grace
38757,Tangled,Animation Family,animation family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based fairy tale duringcreditsstinger healing gift animal sidekick kingdoms wantedand charmingbandit flynn rider hides mysterious tower hes taken hostage rapunzel beautiful feisty towerbound teen feet magical golden hair flynns curious captor whos looking ticket tower shes locked away years strikes deal handsome thief unlikely duo sets actionpacked escapade complete supercop horse overprotective chameleon gruff gang pub thugs zachary levi mandy moore donna murphy ron perlman mc gainey
99861,Avengers: Age of Ultron,Action Adventure Science Fiction,action adventure science fiction marvel comic sequel superhero based comic book vision superhero team duringcreditsstinger marvel cinematic universe tony stark tries jumpstart dormant peacekeeping program things go awry earths mightiest heroes put ultimate test fate planet hangs balance villainous ultron emerges avengers stop enacting terrible plans soon uneasy alliances unexpected action pave way epic unique global adventure robert downey jr chris hemsworth mark ruffalo chris evans scarlett johansson
767,Harry Potter and the Half-Blood Prince,Adventure Fantasy Family,adventure fantasy family witch magic broom school witchcraft wizardry apparition teenage crush werewolf harry begins sixth year hogwarts discovers old book marked property halfblood prince begins learn lord voldemorts dark past daniel radcliffe rupert grint emma watson tom felton michael gambon
209112,Batman v Superman: Dawn of Justice,Action Adventure Fantasy,action adventure fantasy dc comics vigilante superhero based comic book revenge super powers clark kent bruce wayne dc extended universe fearing actions godlike super hero left unchecked gotham citys formidable forceful vigilante takes metropoliss revered modernday savior world wrestles sort hero really needs batman superman war one another new threat quickly arises putting mankind greater danger ever known ben affleck henry cavill gal gadot amy adams jesse eisenberg
